name,LION
PA(O-50:9),LION:0036766
PA(O-50:10),LION:0036771
PA(O-50:11),LION:0036772
PA(O-50:12),LION:0036776
PA(O-49:13),LION:0036777
PA(O-50:13),LION:0036778
PA(O-51:0),LION:0036779
PA(O-51:1),LION:0036780
PA(O-51:2),LION:0036781
PA(O-51:3),LION:0036782
PA(O-51:4),LION:0036783
PA(O-51:5),LION:0036784
PA(O-51:6),LION:0036785
PA(O-51:7),LION:0036786
PA(O-51:8),LION:0036792
PA(O-51:9),LION:0036793
PA(O-51:10),LION:0036799
PA(O-51:11),LION:0036800
PA(O-51:12),LION:0036804
PA(O-51:13),LION:0036805
PA(O-50:14),LION:0036806
PA(O-51:14),LION:0036807
PA(O-52:0),LION:0036810
PA(O-52:1),LION:0036811
PA(O-52:2),LION:0036812
PA(O-52:3),LION:0036813
PA(O-52:4),LION:0036820
PA(O-52:5),LION:0036821
PA(O-52:6),LION:0036822
PA(O-52:7),LION:0036823
PA(O-52:8),LION:0036824
PA(O-52:9),LION:0036828
PA(O-52:10),LION:0036829
PA(O-52:11),LION:0036834
PA(O-52:12),LION:0036835
PA(O-52:13),LION:0036839
PA(O-52:14),LION:0036840
PC(24:0),LION:0041175
PC(25:0),LION:0041214
PC(26:0),LION:0041215
PC(26:1),LION:0041223
PC(27:0),LION:0041224
PC(27:1),LION:0041231
PC(29:0),LION:0041232
PC(29:1),LION:0041233
PC(29:2),LION:0041234
PC(30:3),LION:0041235
PC(31:0),LION:0041236
PC(31:1),LION:0041237
PC(31:2),LION:0041238
PC(31:3),LION:0041239
PC(33:0),LION:0041240
PC(33:1),LION:0041241
PC(33:2),LION:0041244
PC(33:3),LION:0041245
PC(33:4),LION:0041253
PC(35:0),LION:0041254
PC(35:1),LION:0041261
PC(35:2),LION:0041262
PC(35:3),LION:0041265
PC(35:4),LION:0041266
PC(35:5),LION:0041271
PC(37:0),LION:0041272
PC(37:1),LION:0041276
PC(37:2),LION:0041277
PC(37:3),LION:0041278
PC(37:4),LION:0041279
PC(37:5),LION:0041280
